tour_id,avg_star
1,2.0
3,2.1
4,4.667
5,0.958
6,2.0
11,3.4
12,4.0
13,2.16
16,1.0
18,4.5
19,2.556
22,4.5
25,5.0
26,3.0
27,5.0
31,2.5
33,1.571
35,2.299
36,4.5
37,4.286
38,1.25
39,5.0
40,2.703
41,1.833
43,1.656
46,3.4
47,5.0
51,4.0
52,3.214
56,4.0
57,2.5
58,2.5
61,5.0
62,5.0
65,2.0
72,1.806
74,5.0
75,5.0
77,4.0
81,5.0
82,5.0
86,2.917
92,3.667
93,4.5
95,1.5
96,3.429
97,3.132
98,3.132
104,5.0
105,4.286
106,3.633
109,5.0
110,2.909
117,3.667
118,4.333
120,2.211
121,4.038
122,4.5
124,3.882
125,1.333
126,5.0
129,2.25
133,3.0
134,4.0
135,4.4
136,3.3
137,2.511
141,4.5
145,4.515
146,3.571
149,2.333
151,2.833
152,3.455
153,3.5
154,2.3
155,2.3
158,2.75
160,4.778
161,5.0
164,2.912
171,5.0
173,3.6
174,2.791
175,1.656
176,4.5
178,0.0
179,5.0
180,3.45
181,5.0
182,2.353
184,3.913
186,5.0
187,3.2
189,4.632
192,0.0
196,0.333
197,3.75
198,3.4
199,3.933
201,3.333
203,2.333
205,4.909
206,3.895
209,2.167
210,2.125
211,4.533
212,3.564
213,4.053
214,2.84
215,2.894
216,2.875
217,4.143
218,3.535
219,3.926
222,3.433
223,5.0
225,5.0
227,2.053
228,0.0
229,2.419
230,2.5
231,4.5
232,4.375
235,3.8
236,2.414
237,3.75
238,1.4
240,2.929
241,1.965
242,3.5
244,2.771
246,2.714
248,2.519
250,2.75
251,4.0
252,2.946
254,1.0
255,2.0
256,2.8
258,4.5
259,5.0
260,3.833
261,3.105
263,3.806
264,4.0
265,5.0
266,4.0
268,0.0
269,0.0
270,1.75
271,3.0
272,5.0
273,3.25
274,1.0
275,1.8
276,4.0
277,2.238
278,2.909
279,2.724
281,2.778
282,5.0
283,3.0
285,4.0
288,5.0
290,1.507
291,2.607
295,3.667
296,2.167
297,3.455
298,3.0
300,4.167
302,4.5
307,1.333
308,3.8
309,4.0
310,2.857
312,1.962
313,2.133
314,1.309
315,2.591
316,1.769
317,5.0
319,4.0
320,4.0
321,4.5
322,3.125
323,3.556
326,4.75
327,1.282
333,3.727
334,1.0
335,1.0
336,2.175
338,1.971
339,3.389
341,2.588
342,4.2
343,4.429
344,2.373
345,2.786
346,2.0
348,2.301
349,4.0
351,3.0
352,4.429
355,3.083
356,3.0
359,3.429
360,3.667
361,1.481
362,4.222
363,2.513
364,1.667
365,2.741
366,1.8
367,1.0
368,4.5
369,4.4
370,4.0
371,2.0
375,1.588
376,3.286
377,2.0
378,2.6
379,1.889
380,4.667
381,4.0
382,0.634
383,1.2
385,1.664
386,2.125
387,3.185
389,3.667
390,4.143
391,1.0
395,5.0
396,3.9
398,2.5
399,4.308
401,5.0
402,2.5
403,1.6
406,4.5
408,4.0
410,5.0
411,1.9
412,5.0
413,4.286
414,5.0
415,3.667
416,3.714
417,3.25
420,2.4
422,3.4
424,0.0
426,1.667
427,2.656
428,2.667
429,2.75
432,2.803
433,1.838
434,3.0
436,4.0
437,4.556
442,3.609
443,4.0
444,4.5
445,2.667
447,1.333
449,2.133
450,4.361
455,5.0
456,2.5
458,2.208
460,2.5
462,1.0
464,2.0
465,2.892
468,2.464
469,3.0
470,2.5
472,3.22
473,2.25
474,2.568
477,2.0
